"NYC Borough, Block, and Lot (BBL)",Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),Primary Property Type - Self Selected
1010950035,1027122,653,  11 AVENUE         ,MANHATTAN,10036,Yes,In Compliance ,108.8,106.4,253.1,249,56.76,Manual,31,"1,190.2",345.2,845,"153,363",Hotel
1021390017,1063400,"1,050",RIVERSIDE DRIVE     ,MANHATTAN,10032,Yes,In Compliance ,253.4,246.9,426.7,419,null,None,20,"4,573.1",0,"4,573.1","256,013",Office
1008020056,1015051,122,WEST   27 STREET    ,MANHATTAN,10001,Yes,In Compliance ,74.9,70.1,162.4,158.3,null,None,78,698.5,302.6,395.9,"117,291",Office
1006970031,1012384,259,  10 AVENUE         ,MANHATTAN,10001,Yes,In Compliance ,82.2,80.7,187.7,186.4,11.17,Manual,39,"1,249.9",385.1,864.8,"215,000",K-12 School
1001727501,1001866,374,BROADWAY            ,MANHATTAN,10013,Yes,In Compliance ,77,74.4,115.5,112.5,null,None,79,557.6,390.4,167.2,"121,689",Multifamily Housing
1007819002,1083026,2,PENN PLAZA          ,MANHATTAN,10001,Yes,In Compliance ,81.1,79.1,193.1,190.9,11.92,Manual,79,"10,263.2",0,"10,263.2","1,654,537",Office
1008690034,1017595,90,PARK AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,118.2,116.8,269.6,267.9,26.51,Manual,55,"7,773.2",31.6,"7,741.6","870,877",Office
4018600102,null,    92-59,  59 AVENUE         ,QUEENS,11373,Yes,In Compliance ,63.1,62.6,179,178.9,null,None,80,"1,013.5",99.5,914.1,"204,340",Retail Store
1013030033,1036228,776,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,80.6,78.6,210.5,207.5,15.35,Manual,79,"3,056.8",104.1,"2,952.8","487,501",Financial Office
1010280029,1024895,888,   7 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,113.2,110.7,276.4,272.8,32.38,Manual,64,"7,389.9",1.1,"7,388.8","848,010",Office
