id,bbl,bin,street_number,street_name,borough,zipcode,on_covered_buildings_list,dof_benchmarking_status,site_eui,weather_normalized_site_eui,source_eui,weather_normalized_source_eui,indoor_water_intensity,reported_water_method,energy_star_score,total_ghg_emissions,direct_ghg_emissions,indirect_ghg_emissions,property_floor_area,primary_property_type
0,1010950035,1027122,653,11 avenue,manhattan,10036,yes,in compliance,108.8,106.4,253.1,249,56.76,manual,31,1190.2,345.2,845,153363,hotel
1,1021390017,1063400,1050,riverside drive,manhattan,10032,yes,in compliance,253.4,246.9,426.7,419,0,none,20,4573.1,0,4573.1,256013,office
2,1008020056,1015051,122,west 27 street,manhattan,10001,yes,in compliance,74.9,70.1,162.4,158.3,0,none,78,698.5,302.6,395.9,117291,office
3,1006970031,1012384,259,10 avenue,manhattan,10001,yes,in compliance,82.2,80.7,187.7,186.4,11.17,manual,39,1249.9,385.1,864.8,215000,k-12 school
4,1001727501,1001866,374,broadway,manhattan,10013,yes,in compliance,77,74.4,115.5,112.5,0,none,79,557.6,390.4,167.2,121689,multifamily housing
5,1007819002,1083026,2,penn plaza,manhattan,10001,yes,in compliance,81.1,79.1,193.1,190.9,11.92,manual,79,10263.2,0,10263.2,1654537,office
6,1008690034,1017595,90,park avenue,manhattan,10016,yes,in compliance,118.2,116.8,269.6,267.9,26.51,manual,55,7773.2,31.6,7741.6,870877,office
7,4018600102,0,92-59,59 avenue,queens,11373,yes,in compliance,63.1,62.6,179,178.9,0,none,80,1013.5,99.5,914.1,204340,retail store
8,1013030033,1036228,776,3 avenue,manhattan,10017,yes,in compliance,80.6,78.6,210.5,207.5,15.35,manual,79,3056.8,104.1,2952.8,487501,financial office
9,1010280029,1024895,888,7 avenue,manhattan,10019,yes,in compliance,113.2,110.7,276.4,272.8,32.38,manual,64,7389.9,1.1,7388.8,848010,office
10,1012690041,1034532,680,5 avenue,manhattan,10019,yes,in compliance,80.4,77.1,181.8,177.6,0,none,77,1396.3,0,1396.3,230193,office
11,1005990064,1010379,375,hudson street,manhattan,10014,yes,in compliance,67.4,66.1,187.5,185.9,0,none,81,5887.4,0,5887.4,1093934,office
12,4093640010,4440535,89-10,van wyck expwy sr w,queens,11418,yes,in compliance,46.3,0,48.6,0,1535.6,manual,100,323.4,323.4,0,131610,hospital (general medical & surgical)
13,1012617501,1071414,1166,avenue of the amer,manhattan,10036,yes,in compliance,115.1,114.9,228,227.3,0,none,63,15118.2,0,15118.2,1797825,office
14,1013000033,1036195,730,3 avenue,manhattan,10017,yes,in compliance,91.5,90,227.7,226.1,0,none,84,4445.4,0,4445.4,627731,office
15,1012870021,1035471,477,madison avenue,manhattan,10022,yes,in compliance,41.1,0,103.2,0,24.29,manual,97,980,0,980,307384,office
16,1013090001,1036476,405,park avenue,manhattan,10022,yes,in compliance,77.1,0,188.8,0,0,none,71,3499,0,3499,161427,office
17,1008547501,0,11,madison avenue,manhattan,10010,yes,in compliance,77.7,76.2,203.6,201.9,21.96,manual,90,15889.6,221.5,15668.1,2613986,office
18,1010277504,1086135;1024876,230,west 56 street,manhattan,10019,yes,in compliance,79.9,78.9,224.7,223.9,11.54,manual,71,4074.9,432.9,3642,651851,office
19,1014637501,1045575,411,east 68 street,manhattan,10065,yes,in compliance,511.9,503.3,1101.7,1095.2,0,none,0,28370,0,28370,743935,other
20,1014610013,1045570,425,east 66 street,manhattan,10065,yes,in compliance,441.4,432.1,932.3,922.7,0,none,0,10736.4,0,10736.4,327993,laboratory
21,1012950023,1036147,355,lexington avenue,manhattan,10017,yes,in compliance,61.9,59.4,159.7,157.1,4.56,manual,88,1239.1,0,1239.1,256272,office
22,1000390012,1000880,110,maiden lane,manhattan,10005,yes,in compliance,121.7,118.8,257.7,252.9,14.67,manual,57,9435.6,0,9435.6,1045088,office
23,1013090023,1036482,641,lexington avenue,manhattan,10022,yes,in compliance,114.5,112,231.5,228.1,12.79,manual,61,3611.1,0,3611.1,429866,office
24,1013050013,1036451,560,lexington avenue,manhattan,10022,yes,in compliance,66.4,63.9,181.1,177.6,13.58,manual,82,1733.9,0,1733.9,328910,office
